rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
400,4,20,0.1,4,0.4605394360171612,0.10000000000040497,0.08176120031879346,0.038950389426849696,0.003822327169767714,0.0015955747323118535,2.3955801582728022,-0.0020615170864841386,0.016536129673719424,0.0020400593376801446,0.0016131863853567953,1.2646147749560483,-0.0022252005230286765
400,6,40,0.1,2,0.45982448124198516,0.10000000000011933,0.08003627787233297,0.04540281722941231,0.004443032535911939,0.0020312731619660475,2.1873141530662354,-0.002212932234031911,0.018607769411724595,0.002293584964412343,0.0018346245306266936,1.250165865616586,-0.002426583659307294
200,4,20,0.1,4,0.4606583125899577,0.10000000000024482,0.08059682814923481,0.03850440198093441,0.0037792963333993512,0.0016036880503785464,2.3566281063871855,-0.0020164757990016233,0.016453320173291708,0.002029915775130009,0.0016278692206664225,1.2469771830313219,-0.0022763722987501804
400,6,20,0.1,2,0.45981397865071805,0.09999999999958158,0.08099470612073431,0.04489527521504,0.004394333568644271,0.002143200876666848,2.050360102259025,-0.00224094692486477,0.018011809761788067,0.0022206981953294402,0.0017856822694900833,1.2436132862334908,-0.0023443139302145983
400,6,80,0.1,2,0.45824242504469104,0.09999999999976489,0.07742311740072229,0.04565427880530426,0.004467152544299413,0.0019715863893691203,2.2657655623849373,-0.0018056095898239754,0.017748078785694732,0.00218843156943227,0.0017601987102943166,1.2432866565766032,-0.0020786416311447255
400,4,20,0.15,4,0.42676589864643566,0.14999999999965358,0.12945310660280035,0.05745142696538208,0.0055928991974110165,0.002223856527172294,2.5149550472676268,-0.002684168326035859,0.024027978559513885,0.0029547758836623306,0.0023782412113780823,1.2424206045736517,-0.003444695799550689
400,6,20,0.15,2,0.424561355912092,0.149999999999767,0.12897304047142494,0.06509195114079724,0.006315981836905404,0.0029215031647201045,2.1618945730324097,-0.0028753831072111003,0.025547139083901493,0.003139542643579185,0.0025282969655420237,1.2417618208492849,-0.003646005287760962
400,6,40,0.15,2,0.42454552094096465,0.15000000000055855,0.12773934861603461,0.06573568308721511,0.006376689764924448,0.0028234232497327634,2.2584958757168274,-0.0028514464374010235,0.026191670266680456,0.003217860855450283,0.002597713086519755,1.2387283538542593,-0.0037133784004217264
400,4,80,0.1,2,0.45733126480909947,0.10000000000006407,0.07882471737962929,0.04526100538004929,0.004429427744974568,0.0019576530441317323,2.2626214375689484,-0.00183869082152298,0.017330348048504973,0.0021373085870053377,0.0017292902465286214,1.2359455512432183,-0.0022953071259098506
400,4,20,0.1,3,0.4604121547760496,0.09999999999954842,0.0822191381003026,0.03957528393127041,0.003882591786424472,0.0015982318572390687,2.4293044647048987,-0.002106191712250757,0.016312147860964687,0.002012621523240332,0.001629702551347168,1.2349624915151727,-0.0023079575592243246
400,8,20,0.15,2,0.4259175065001455,0.14999999999983463,0.1276291906063172,0.06903368375872554,0.006687194957499587,0.0032523415173358458,2.0561170842161127,-0.0029322875869884366,0.02560095709754684,0.0031460838220429554,0.0025503182414960347,1.2336044070317438,-0.0037100712353982934
400,8,80,0.1,2,0.4584083598347479,0.10000000000003337,0.0768394711894867,0.04586089255545844,0.004486966875192566,0.0019997286796750178,2.243787830217926,-0.0018137645025827639,0.017623609666103546,0.002173200634603134,0.001763124716751247,1.232584747951068,-0.002080919764528407
200,4,20,0.15,4,0.4268307990104675,0.1500000000002094,0.12827868405547815,0.056990145144568904,0.005549094106923169,0.0022294682372690773,2.4889765255056386,-0.002642871481075987,0.023955110335736274,0.002945907308852691,0.0023905275215538625,1.2323252011496721,-0.003483965440106869
200,4,80,0.1,2,0.45699880428231154,0.1000000000006124,0.07883631372059864,0.04505841176984515,0.004409988942724263,0.0019170679534133604,2.3003821720937068,-0.0018828903278887543,0.017172281456806715,0.002117959188987939,0.0017217826891510334,1.23009669125681,-0.0022057697006526455
